Pamekasan;Jl. Raya Sumenep RT. 000, RW. 00, Tambung - Pamekasan, (Pagar warna hijau, ada tanda X di pintu pagarnya, selatan gudang Sarimi);-7,150159836;113,5100021
Surabaya Barat;Jl. Margomulyo No. 44, Komplek Pergudangan Suri Mulia Blok PP No. 10 - 15;-7,241212;112,699962
Jombang;Jl. Raya Jati Pelem No. 27A, Desa Balongbesuk, Kecamatan Diwek, Kabupaten Jombang;-7,587667;112,227682
Gresik;PERGUDANGAN MANYAR MAS KARIMUN B NO.28-29 RT. 002 RW. 002;-7,108789;112,588094
Bangkalan;Jalan Nasional 21 Kel. Basanah Kec. Tanah Merah Bangkalan;-7,067369461;112,8165131
Bali;Jl. Cokroaminoto no. 42, Kel. Pemecutan Kaja, Kec. Denpasar Barat, Denpasar - Bali;-8,670459747;115,2129974
Lombok;JL. TGH. Shaleh Hambali Blok.D, Dusun Bengkel Utara Barat, Desa Bengkel, Kec. Labuapi, Kabupaten Lombok Barat;-8,614685;116,142174
Bima;Jl Lingkar Pelabuhan Lingk.Sarata RT. 017 RW. 006 Paruga, Rasanae Barat, Kota Bima Nusa Tenggara Barat;-8,456151;118,717505
Kupang;Jl. M. Praja RT. 22/ RW. 05, Kel. Alak, Kec. Alak;-10,17720032;123,6070023
Maumere;WAIARA RT 004/RW 002, DESA WAIARA;-8,64041;122,302808
Pontianak;Jl. Trans Kalimantan,Kec. Ambawang, Desa Ampera Raya, (Dekat Posek Ambawang), Pontianak - Kalimantan Barat;-0,0296327;109,3839849
Sintang;Jl. Sintang Pontianak KM.10 RT.000 RW.000 Sungai Ukoi, Sungai Tebelian;-0,0023037;111,4524918
Ketapang;Jl. Raya Gajahmada RT.05 RW.03 Kali Nilam, Delta Pawan;-1,822584987;109,9585114
Sampit;Jl. HM. Arsyad KM 2.5 RT.3, Kel. Ketapang, Kec. Mentawa Baru Ketapang;-2,539469957;112,9589996
Palangkaraya;Jalan Mahir Mahar KM 3,2 Kel. Sabaru Kec. Sabangau Kota Palangka Raya, Kalimantan Tengah;-2,279726;113,951421
Banjarmasin;JL. Ahmad Yani Km.11.8 RT:001 / RW:001, Kel Gambut, Kec. Gambut Kab. Banjar;-3,318609953;114,5940018
Barabai;Jl. Merdeka RT.01, RW.01,Desa Kapar Kecamatan Batang Alai Selatan - Barabai (Hulu Sungai Tengah);-2,542315;115,412827
Batulicin;Raya Batulicin RT.003 RW.001,Ds. Kersik Putih, Kec. Batu Licin;-3,4909859;115,9996513
Samarinda;Jl. Ir. Sutami Komp. Perdagangan Blok R. 10, Karang Asem, Sungai Kunjang ;-0,494823009;117,1439972
Balikpapan;Jl. Sultan Hassanudin No. 88 RT 10, Kariangau - Balikpapan Utara;-1,237930059;116,8529968
Tarakan;Jl Aki Balak Persemaian Juata Kerikil , Tarakan Utara ;3,354379;117,570994
Berau;HRM Ayoeb RT.013, Kel. Gunung Tabur, Kec. Gunung Tabur;2,366605;117,537844
Manado;Jl. Raya Manado Bitung KM. 12, Desa Watutumou Jaga VI Watutumou, Kalawat;1,474830031;124,8420029
Gorontalo;Jl. Raya Limboto No. 51 A, Desa Luhu - Telaga, Kabupaten Gorontalo;0,582270026;123,0400009
Palu;Jl. Sukarno-Hatta No. 88, Tondo - Palu Timur;-0,84514302;119,8909988
Luwuk;Jl. Poros Luwuk Koyoan KM 16 No. 88  ;-1,0584082;122,7530243
Makassar;Jl. Kima Raya II Kav. L-4 (Komp. Pergudangan Makassar) Bringkanaya ;-5,1028098;119,4999817
Parepare;Jl. Poros Pare - Pinrang No. 88, Labili Bili, Kec. Suppa, Kel. Tellumpanua;-3,9723224;119,6390433
Bulukumba;Jalan Poros Bulukumba - Bantaeng (Depan Lahan Kapas), Desa Biring Kelapa, Kelurahan Jalanjang, Kecamatan Gantarang, Bulukumba - Sulawesi Selatan;-5,570250034;120,1419983
Palopo;Jln. Poros palopo  Desa karang - karangan Kecamatan BUA Kabupaten Luwu Palopo - Sulawesi Selatan;-3,139683;120,249128
Kendari;Jl. Buburanda No. 9 RT/RW : 002/003, Kel. Korumba, Kec. Mandonga;-3,973639965;122,5230026
Baubau;JL. Pahlawan Lingkungan Wakonti RT 01/ RW 04 Kelurahan Kadolokatapi, Kecamatan Wolio;-5,466323;122,642352
Kolaka;Kompleks Gudang A,B1,B2 Jalan Poros Kolaka Wolo Lingk. 1 Mangolo RT.001 RW.002 Kode Pos. 93511 Kel. Mangolo Kec. Latambaga;-4,024157;121,551292
Ternate;Komplek pergudangan Grand Palace Jl.Tahu Tempe RT 12 RW 05;0,7697305;127,3646352
Ambon;Jl. Wolter Monginsidi RT. 002, RW. 003, Desa / Kelurahan Lateri,Kecamatan Teluk Ambon, Baguala;-3,610599995;128,2429962
Sorong;JL.Tanjung Dofior RT. 001 RW. 001, Klabulu, Malaimsimsa;-0,881628;131,299865
Manokwari;BRIGJEN MARINIR ABRAHAM OCTOVIANUS;-0,928625;134,027315
Jayapura;JL BARU TOBATI  HAMADI, RT 004/RW 010 KELURAHAN HAMADI DISTRIK JAYAPURA SELATAN;-2,572274;140,707082
Merauke;Jalan Husein Palela RT. 017 RW. 006;-8,521210725;140,4010909
Timika;Jl. HASANUDDIN RT. 53 RW. 8 PASAR SENTRAL MIMIKA BARU KAB. MIMIKA PAPUA;-4,564380646;136,8439789
